Store,Latitude,Longitude,Address,CreatedAt,Text,Senti,Rating,Source
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:49:37 +0000 2016,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:47:42 +0000 2016,RT @ATT: Hey Fayetteville - you’re welcome to come and charge your devices at 1918 Skibo Rd. https://t.co/C27UoaczGj,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:38:28 +0000 2016,RT @ATT: Hey Aberdeen - you're welcome to come and charge your devices at 1813 North Sand Hills Blvd. https://t.co/WQkADX2Hk4,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:32:34 +0000 2016,RT @ATT: Hey Fayetteville - you’re welcome to come and charge your devices at 1918 Skibo Rd. https://t.co/C27UoaczGj,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:26:07 +0000 2016,"RT @ATT: Many of you may be without power, you're welcome to come by a store and charge your devices. https://t.co/RaSiHN6N7K https://t.co/…",,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:22:50 +0000 2016,RT @fishsports: #Cowboys - #Bengals at @ATT - Doors open. Roof closed. Sun shining for 5 billionth year. https://t.co/pit0vKWtPg,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:21:29 +0000 2016,RT @fishsports: #Cowboys - #Bengals at @ATT - Doors open. Roof closed. Sun shining for 5 billionth year. https://t.co/pit0vKWtPg,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:19:44 +0000 2016,RT @fishsports: #Cowboys - #Bengals at @ATT - Doors open. Roof closed. Sun shining for 5 billionth year. https://t.co/pit0vKWtPg,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:15:50 +0000 2016,"RT @ATT: To help cust. impacted by #HurricaneMatthew, we're waiving data overages in GA + FL (10/6-11) and NC + SC (10/7-11): https://t.co/…",,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:14:36 +0000 2016,RT @fishsports: #Cowboys - #Bengals at @ATT - Doors open. Roof closed. Sun shining for 5 billionth year. https://t.co/pit0vKWtPg,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:13:44 +0000 2016,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:13:07 +0000 2016,RT @fishsports: #Cowboys - #Bengals at @ATT - Doors open. Roof closed. Sun shining for 5 billionth year. https://t.co/pit0vKWtPg,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:12:28 +0000 2016,RT @fishsports: #Cowboys - #Bengals at @ATT - Doors open. Roof closed. Sun shining for 5 billionth year. https://t.co/pit0vKWtPg,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 18:11:07 +0000 2016,@fishsports @ATT why would he open the roof on the most beautiful day of the season so far? #DallasCowboys https://t.co/Rr9ymv0mha,,,Twitter
