Store,Latitude,Longitude,Address,CreatedAt,Text,Senti,Rating,Source
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 19:34:43 +0000 2016,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 19:20:44 +0000 2016,@danmacyDC You can DM right here at @ATT!,,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 18:31:50 +0000 2016,@tylerwardmusic @ItCanWait @ATT Good for you! #ItCanWait 👍👍👍,,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 17:58:26 +0000 2016,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 17:43:19 +0000 2016,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 17:31:39 +0000 2016,@ATT Why is the LG V20 $830 on AT&amp;T but only $769 on T-mobile? Will there be a price match for completed pre-orders or should I join them?,,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 17:07:37 +0000 2016,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 17:02:05 +0000 2016,@ATTCares You all actually helped resolve end of last week. Just waiting on BoA to refund now. TY!,,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 16:50:05 +0000 2016,The decision to switch now lies between @ATT and @TMobile,,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 16:36:15 +0000 2016,"RT @ATT: To our customers w/ loved ones impacted by #HurricaneNicole, we'll credit calls/texts from U.S. to Bermuda 10/13-15: https://t.co/…",,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 16:16:45 +0000 2016,RT @ATT: We’re offering relief for Louisiana customers affected by flooding. Details: https://t.co/n51ohM6TAV https://t.co/4gBfVsD4X6,,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 16:00:06 +0000 2016,I hate @ATT,,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 15:30:21 +0000 2016,Kudos to @ATTCares for their quick response &amp; help when my iPhone7 was never delivered. 📱📞,,,Twitter
Dallas3,32.8293128,-96.8272358,5616 Lemmon Ave Dallas TX 75209,Mon Oct 17 15:01:21 +0000 2016,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,,,Twitter
