Store,Latitude,Longitude,Address,CreatedAt,Text,Senti,Rating,Source
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 20:37:40 +0000 2016,RT @ATT: Hey Orangeburg– you’re welcome to come and charge your devices at 2380 Chestnut Street NE. https://t.co/niKLeiom4a,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 20:34:43 +0000 2016,RT @ATT: Hey Fayetteville - you’re welcome to come and charge your devices at 1918 Skibo Rd. https://t.co/C27UoaczGj,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 20:34:22 +0000 2016,RT @ATT: Hey Statesboro – you’re welcome to come and charge your devices at 581 Northside Dr. https://t.co/ZnNrcYkhCl,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 20:30:23 +0000 2016,RT @ATT: Hey Fayetteville - you’re welcome to come and charge your devices at 1918 Skibo Rd. https://t.co/C27UoaczGj,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 20:26:24 +0000 2016,"RT @ATT: To help cust. impacted by #HurricaneMatthew, we're waiving data overages in GA + FL (10/6-11) and NC + SC (10/7-11): https://t.co/…",,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 20:23:16 +0000 2016,"RT @ATT: To help cust. impacted by #HurricaneMatthew, we're waiving data overages in GA + FL (10/6-11) and NC + SC (10/7-11): https://t.co/…",,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 20:19:28 +0000 2016,RT @ATT: Hey Fayetteville - you’re welcome to come and charge your devices at 1918 Skibo Rd. https://t.co/C27UoaczGj,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 20:18:28 +0000 2016,"@dallasnews @ATT @melissa_repko when I go to any game in DFW,I turn my phone off",,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 20:17:57 +0000 2016,RT @ATT: Hey Fayetteville - you’re welcome to come and charge your devices at 1918 Skibo Rd. https://t.co/C27UoaczGj,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 20:15:20 +0000 2016,"RT @dallasnews: Playing catchup in the cloud, @ATT announces @Amazon partnership https://t.co/qrmuu5jxYq | @agarre https://t.co/81mxGRbAKl",,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 20:14:44 +0000 2016,"RT @ATT: To help cust. impacted by #HurricaneMatthew, we're waiving data overages in GA + FL (10/6-11) and NC + SC (10/7-11): https://t.co/…",,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 20:06:39 +0000 2016,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 19:59:24 +0000 2016,RT @ATT: Hey Aberdeen - you're welcome to come and charge your devices at 1813 North Sand Hills Blvd. https://t.co/WQkADX2Hk4,,,Twitter
Dallas1,32.776664,-96.796988,"208 S Akard Street, Ste 110, Dallas, TX 75202",Sun Oct 09 19:55:47 +0000 2016,RT @ATT: Hey Aberdeen - you're welcome to come and charge your devices at 1813 North Sand Hills Blvd. https://t.co/WQkADX2Hk4,,,Twitter
